stt,name,name (english),type,address,license no,issue date,phone,fax,website,email
3508,CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ DU LỊCH International Travel THỊNH HẠO,THINH HAO INTERNATIONAL TRAVELERS TRAVEL AND IMPORT EXPORT COMPANY LIMITED,International Travel,"TẦNG 3, SỐ 181 PHỐ HOA BẰNG",01-2107/2022/TCDL-GP LHQT,22/12/2022,0522.658.999,,,companytravel90@gmail.com
3510,CÔNG TY CỔ PHẦN ĐẦU TƯ THÀNH ĐẠT NAM PHI,THANH DAT SOUTH AFRICA INVESTMENT JOINT STOCK COMPANY,International Travel,"SỐ 13, KHU BIỆT THỰ 130 PHỐ ĐỐC NGỮ",01-2108/2022/TCDL-GP LHQT,22/12/2022,974266666,24.66662345,thanhdatnamphi.vn,thanhdatnamphi@gmail.com
3511,CÔNG TY TNHH THANH HẰNG HOLDING VIỆT NAM,THANH HANG HOLDING VIET NAM COMPANY LIMITED,International Travel,SỐ 59-TT20 KHU ĐÔ THỊ VĂN PHÚ,01-2111/2022/TCDL-GP LHQT,27/12/2022,888766111,,yolotravel.com,ngoctan.yolotravel@gmail.com
3512,CÔNG TY TNHH PRIME TRAVEL,PRIME TRAVEL COMPANY LIMITED,International Travel,TỔ 12,01-2112/2022/TCDL-GP LHQT,27/12/2022,988900528,,primetravelvietnam.com,info@primetravelvietnam.com
3513,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ ITRAVEL VIỆT NAM,ITRAVEL VIET NAM SERVICE AND TRADING COMPANY LIMITED,International Travel,"SỐ 36, TỔ DÂN PHỐ PHỐ HUYỆN",01-2113/2022/TCDL-GP LHQT,27/12/2022,098 3580 811,,dulichitravel.com.vn,info@dulichitravel.com.vn
3514,CÔNG TY TNHH DU LỊCH VÀ LÀM ĐẸP QUỐC TẾ HAN MI SO,HAN MI SO INTERNATIONAL BEAUTY AND TOURISM COMPANY LIMITED,International Travel,SỐ 160 ĐƯỜNG NGUYỄN ĐÌNH HOÀN,01-2114/2023/TCDL-GP LHQT,18/01/2023,0936 166 303,,,hanmisobt@gmail.com
3515,CÔNG TY CỔ PHẦN TƯ VẤN THƯƠNG MẠI DỊCH VỤ DU LỊCH VĂN HÓA VIỆT,VIET CULTURE CONSULTING TRADING SERVICE TOURISM JOIN STOCK COMPANY,International Travel,"SỐ NHÀ 8 NGÁCH 20, NGÕ 67, ĐƯỜNG GIÁP BÁT",01-2115/2022/TCDL-GP LHQT,29/12/2022,981839756,,,vanhoaviet2022@gmail.com
3520,CÔNG TY TNHH RADAR HOLIDAY,RADAR HOLIDAY LIMITED COMPANY,International Travel,"TẦNG 2 THÁP A, TÒA NHÀ HELIOS TOWER, SỐ 75 TAM TRINH, PHƯỜNG MAI ĐỘNG, QUẬN HOÀNG MAI, THÀNH PHỐ HÀ NỘI",01-2116/2023/TCDL-GP LHQT,03/01/2023,0942 584460,,radarholiday.com,van@radarholiday.com
3522,CÔNG TY CỔ PHẦN DU LỊCH 8TRAVEL,TOURISM 8TRAVEL JOINT STOCK COMPANY,International Travel,SỐ 10 VÀ SỐ 12 PHỐ TRẦN TỬ BÌNH,01-2118/2022/TCDL-GP LHQT,05/01/2023,024 35683727,,,luyennt@8travel.vn
3523,CÔNG TY CỔ PHẦN DU LỊCH QUỐC TẾ DANCO VIỆT NAM,DANCO VIETNAM INTERNATIONAL TRAVEL JOINT STOCK COMPANY,International Travel,"TẦNG 8, SỐ 381 ĐỘI CẤN",01-2119/2023/TCDL-GP LHQT,06/01/2023,773348855,,dancotravel.vn,ruby130991@gmail.com
3527,CÔNG TY TNHH HOLIDAYS VIỆT NAM,VIET NAM HOLIDAYS COMPANY LIMITED,International Travel,"TẦNG 2, TÒA NHÀ TRUNG YÊN PLAZA, SỐ 1 PHỐ TRUNG HÒA, PHƯỜNG TRUNG HÒA, QUẬN CẦU GIẤY, THÀNH PHỐ HÀ NỘI",01-2122/2023/TCDL-GP LHQT,11/05/2024,2473038399,,,info@holidaysvietnam.vn
3529,CÔNG TY TNHH PHÁT TRIỂN DỊCH VỤ THƯƠNG MẠI THIÊN VIỆT,THIEN VIET DEVELOPMENT OF TRADING SERVICES COMPANY LIMITED,International Travel,"TẦNG 3, TÒA NHÀ CT 1, KHU VĂN PHÒNG SEVIN OFFICE, SỐ 609 TRƯƠNG ĐỊNH, PHƯỜNG THỊNH LIỆT, QUẬN HOÀNG MAI, THÀNH PHỐ HÀ NỘI",01-2124/2023/TCDL-GP LHQT,13/01/2023,024 3974 9220,024 3974 9219,,nguyenthuy.duong@thienvietmedia.vn
3530,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH FUN&SUN VIỆT NAM,FUN&SUN TRAVEL AND TRADING VIETNAM COMPANY LIMITED,International Travel,"SỐ 73, TT2, KHU ĐÔ THỊ THÀNH PHỐ GIAO LƯU",01-2125/2023/CDLQGVN-GP LHQT,22/04/2025,2473091699,,funsunvietnam.com,info@funsunvietnam.com
3531,CÔNG TY TNHH DỊCH VỤ DU LỊCH VIỆT HƯƠNG,VIET HUONG TRAVEL SERVICE COMPANY LIMITED,International Travel,"SỐ 56, ĐƯỜNG VĨNH QUỲNH",01-2126/2023/TCDL-GP LHQT,13/01/2022,975105588,,,infor@vietexpresstravel.com
3532,CÔNG TY TNHH DU LỊCH DỊCH VỤ VIỆT - TRUNG HÀ NỘI,,International Travel,"TẦNG 21 TÒA NHÀ THỦ ĐÔ, SỐ 109 PHỐ TRẦN HƯNG ĐẠO",01-2127/2023/TCDL-GP LHQT,16/01/2023,353331995,,,viettrungtravelhn@gmail.com
3533,CÔNG TY TNHH SAMICA CORPORATION,SAMICA CORPORATION COMPANY LIMITED,International Travel,"TẦNG 25, TÒA B1 ROMAN PLAZA, ĐƯỜNG TỐ HỮU",01-2128/2023/TCDL-GP LHQT,16/01/2023,373609289,,,tranghuyen.nt89@gmail.com
3534,CÔNG TY TNHH SƠN TÙNG BÁCH,SON TUNG BACH COMPANY LIMITED,International Travel,SỐ 41 TẬP THỂ THỦY SẢN,01-2129/2023/TCDL-GP LHQT,16/01/2023,904840804,,,sontungbach.co@gmail.com
3535,CÔNG TY CỔ PHẦN PHÁT TRIỂN QUỐC TẾ NHẬT VIỆT JVJSC,NHAT VIET JVJSC INTERNATIONAL DEVELOPMENT JOINT STOCK COMPANY,International Travel,"TẦNG 4, SỐ 112 ĐƯỜNG TRẦN VỸ",01-2130/2023/TCDL-GP LHQT,16/01/2023,2462916875,,nhatvietjsc.vn,nguyenhue@nhatvietjsc.vn
3536,CÔNG TY CỔ PHẦN VIỆT THIÊN TÂM,VIET THIEN TAM JOINT STOCK COMPANY,International Travel,"SỐ 3, NGÕ 225 LƯƠNG THẾ VINH",01-2131/2023/TCDL-GP LHQT,16/01/2023,918106236,,vietthientamtravel.com,vietthientam279@gmail.com
3537,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH QUỐC TẾ CƯỜNG LÂM,CUONG LAM TRADING TRAVEL INTERNATIONAL COMPANY LIMITED,International Travel,SỐ NHÀ 32 NGÕ 133 ĐƯỜNG NGUYỄN PHONG SẮC,01-2132/2023/TCDL-GP LHQT,16/01/2023,0904 546 737,,,cuonglamltd@gmail.com
3538,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ DU LỊCH ERA,ERA INVESTMENT TRADING AND SERVICES TRAVEL COMPANY LIMITED,International Travel,"SỐ NHÀ 99, NGÕ 612 ĐƯỜNG LA THÀNH",01-2133/2023/TCDL-GP LHQT,16/01/2023,772200086,,eratourgroup.com,ngocbb@eratourgroup.com
3539,CÔNG TY CỔ PHẦN ĐẦU TƯ GIÁO DỤC & DU LỊCH HANO,HANO TRAVEL & EDUCATION INVESTMENT JOINT STOCK COMPANY,International Travel,"TẦNG 12, TÒA SUDICO, KHU ĐÔ THỊ MỸ ĐÌNH - MỄ TRÌ",01-2134/2023/TCDL-GP LHQT,16/01/2023,912382574,,,hoangoanh82@hotmail.com
3540,CÔNG TY TNHH BLUE TOURISM,BLUE TOURISM COMPANY LIMITED,International Travel,"P.14-15A, TẦNG 7, TÒA NHÀ CHARMVIT, SỐ 117 TRẦN DUY HƯNG, PHƯỜNG TRUNG HÒA, QUẬN CẦU GIẤY, THÀNH PHỐ HÀ NỘI",01-2135/2023/TCDL-GP LHQT,18/01/2023,912037530,,,ngochariver@gmail.com
3541,"CÔNG TY TNHH TM, DU LỊCH NIPPON","NIPPON TRAVEL, TM COMPANY LIMITED",International Travel,"7D, NGÕ 129/42 ĐƯỜNG BÁT KHỐI",01-2136/2023/TCDL-GP LHQT,20/11/2024,396998888,,nippontravel.vn,voson@nippontravel.vn
3542,CÔNG TY CỔ PHẦN UMOVE TRAVEL,UMOVE TRAVEL JOINT STOCK COMPANY,International Travel,TỔ 48 (TỔ 26A CŨ),01-2137/2023/TCDL-GP LHQT,30/01/2023,0913 339 339,,umovetravel.com,info@umovetravel.com
3543,CÔNG TY CỔ PHẦN DỊCH VỤ SỰ KIỆN VÀ DU LỊCH HT LUXURY TRAVEL,HT LUXURY TRAVEL EVENTS AND TOURISM SERVICES JOINT STOCK COMPANY,International Travel,"26 SUNRISE E (8-TM3-15), KĐT THE MANOR CENTRAL PARK, ĐƯỜNG NGUYỄN XIỂN, PHƯỜNG ĐẠI KIM, QUẬN HOÀNG MAI, TP HÀ NỘI",01-2138/2023/TCDL-GP LHQT,31/01/2023,0977.771.268,,,htluxurytravel@gmail.com
3544,CÔNG TY TNHH DỊCH VỤ DU LỊCH THƯƠNG MẠI QUỐC TẾ SORA,SORA SERVICE TOURISM TRADING INTERNATIONAL COMPANY LIMITED,International Travel,"SỐ 33, NGÁCH 318/100 ĐƯỜNG ĐÊ LA THÀNH",01-2139/2023/TCDL-GP LHQT,31/01/2023,242215226,,,info@soratour.com.vn
3545,CÔNG TY CỔ PHẦN DỊCH VỤ DU LỊCH QUỐC TẾ UMC,,International Travel,SỐ 2 NGÁCH 12 NGÕ 62 ĐƯỜNG NGUYỄN VIẾT XUÂN,01-2140/2023/TCDL-GP LHQT,31/01/2023,2463299368,2463299368,umctravel.vn,umctravel133@gmail.com
3546,CÔNG TY TNHH DU LỊCH CÙNG HƯỚNG DẪN VIÊN TERRIBLE,THE TERRIBLE TOUR GUIDE TRAVEL COMPANY LIMITED,International Travel,"SỐ 36, TỔ 56",01-2141/2023/TCDL-GP LHQT,01/02/2023,343470507,,,info@theterribletourguide.com
3549,CÔNG TY TNHH CÔNG NGHỆ VÀ DU LỊCH CAPANNAM,CAPANNAM TRAVEL AND TECHNOLOGY COMPANY LIMITED,International Travel,353/22 ĐƯỜNG BÁT KHỐI,01-2142/2023/TCDL-GP LHQT,01/02/2023,0938 648 388,,capannam.com,dongnguyen@capannam.com
3550,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ QUỐC TẾ MAY HOLIDAY,MAY HOLIDAY INTERNATIONAL TRADING AND SERVICES JOINT STOCK COMPANY,International Travel,"SỐ NHÀ 72, NGÕ 252, ĐƯỜNG NGỌC THỤY",01-2143/2023/TCDL-GP LHQT,01/02/2023,083 512 1363,,,supo@mayholiday.vn
3551,CÔNG TY TNHH DU LỊCH VÀ DỊCH VỤ DẤU ẤN,IMPRINTS TRAVEL AND SERVICE COMPANY LIMITED,International Travel,SỐ 5 NGÕ 204 LÊ THANH NGHỊ,01-2144/2023/TCDL-GP LHQT,02/02/2023,0906 527 345,,,imprintstravelacc@gmail.com
3552,CÔNG TY TNHH TƯ VẤN THƯƠNG MẠI VÂN PHƯƠNG,VAN PHUONG TRADING CONSULTANT COMPANY LIMITED,International Travel,"NO03-LK40 KHU ĐẤT DỊCH VỤ LK20A, LK20B",01-2146/2023/TCDL-GP LHQT,21/04/2024,983845803,,,tvtmvanphuong@gmail.com
3556,CÔNG TY TNHH KHOẢNH KHẮC SỐNG,MOMENT LIVES COMPANY LIMITED,International Travel,"SỐ NHÀ 18 NGÁCH 167/3, PHỐ GIA QUẤT",01-2149/2023/TCDL-GP LHQT,06/05/2024,098 330 9484,,momentlives.com,sales@momentlives.com
3557,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI KHP,KHP MANUFACTURE AND TRADING COMPANY LIMITED,International Travel,SỐ 9 NGÁCH 649/29 BÁT KHỐI,01-2150/2023/TCDL-GP LHQT,08/02/2023,865815200,,,khp.mtc@gmail.com
3559,CÔNG TY CỔ PHẦN QUẢN LÝ ĐIỂM ĐẾN THẾ GIỚI,WORLD DESTINATION MANAGEMENT JOINT STOCK COMAPNY,International Travel,"SỐ 199 XUÂN THỦY, TỔ 19",01-2153/2023/TCDL-GP LHQT,08/02/2023,935888539,,,info@world-dmc.net
3569,CÔNG TY TNHH NATRACON VIỆT NAM,NATRACON VIET NAM COMPANY LIMITED,International Travel,"SỐ NHÀ 35, NGÕ 169 ĐƯỜNG QUANG TIẾN",01-2154/2023/TCDL-GP LHQT,09/02/2023,981926228,,,angel08108686@gmail.com
3572,CÔNG TY CỔ PHẦN VẬN TẢI VÀ DU LỊCH BẮC TRUNG NAM,BAC TRUNG NAM TOURIST AND TRANSPORT JOINT STOCK COMPANY,International Travel,"SỐ 33, NGÕ 218, PHỐ LĨNH NAM",01-2155/2023/TCDL-GP LHQT,09/02/2023,985354988,,bactrungnamtourist.com,dulichbactrungnamhn@gmail.com
3576,CÔNG TY CỔ PHẦN DU LỊCH VÀ SỰ KIỆN DAWN VIỆT,DAWN VIET TOURISM AND EVENT JOINT STOCK COMPANY,International Travel,SỐ NHÀ 250 PHỐ KHƯƠNG TRUNG,01-2156/2023/TCDL-GP LHQT,16/02/2023,977544688,,dawnviet.com,dulichdawnviet@gmail.com
3577,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH VÀ DỊCH VỤ HÀNG KHÔNG ABTRIP,ABTRIP AIR SERVICES AND TOURISM TRADING COMPANY LIMITED,International Travel,"SỐ 6 NGÕ 113, ĐƯỜNG NGỌC THỤY, TỔ 1",01-2158/2023/TCDL-GP LHQT,17/02/2023,024.36.320.320,024.36.320.791,abtrip.vn,info@abtrip.vn
3578,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN HMLINH,HMLINH INVESTMENT AND CONSULTING COMPANY LIMITED,International Travel,"SỐ 635B, PHỐ KIM MÃ",01-2159/2023/TCDL-GP LHQT,17/02/2023,979019192,,,hoangmanhlinh.bkk54@gmail.com
3579,CÔNG TY DOANH NGHIỆP TƯ NHÂN KHÔI NGUYÊN,KHOI NGUYEN PRIVATE ENTERPRISE,International Travel,"SỐ 8, NGÕ 22 LƯƠNG NGỌC QUYẾN",01-2160/2023/TCDL-GP LHQT,20/02/2023,024 39262462,,ringotravel.com.vn,info@ringotravel.com.vn
3580,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ DU LỊCH THIÊN THAI,PARADISE TRAVEL AND MEDIA JOINT STOCK COMPANY,International Travel,"TẦNG 4, SỐ 81, NGÕ 12 PHỐ ĐÀO TẤN",01-2161/2023/TCDL-GP LHQT,20/02/2023,024 3232 1961,,vietnamparadisetravel.com,sales@vietnamparadisetravel.com
3581,CÔNG TY CỔ PHẦN DU LỊCH AVEX VIETNAM,AVEX VIETNAM TRAVEL CORPORATION,International Travel,"Tầng 8, Số 169 Nguyễn Ngọc Vũ, Phường Yên Hòa, Thành phố Hà Nội",01-2162/2023/CDLQGVN-GP LHQT,09/09/2025,368356756,,avexvietnamtravel.com,info@avexvietnamtravel.com
3584,CÔNG TY TNHH TACARS VIỆT NAM,TACARS VIETNAM COMPANY LIMITED,International Travel,"SỐ 9, NGÕ 7, ĐƯỜNG LÊ ĐỨC THỌ",01-2165/2023/TCDL-GP LHQT,23/02/2023,24.36321529,,,sales@tacars.com.vn
3586,CÔNG TY CỔ PHẦN TẬP ĐOÀN DU LỊCH QUỐC TẾ VIỆT NAM KỲ NGHỈ VÀNG,GOLDEN HOLIDAY VIET NAM INTERNATIONAL TOURISM GROUP JOINT STOCK COMPANY,International Travel,"TẦNG 4 LK01 C14 BẮC HÀ, ĐƯỜNG TRUNG VĂN, PHƯỜNG TRUNG VĂN, QUẬN NAM TỪ LIÊM, THÀNH PHỐ HÀ NỘI",01-2586/2024/TCDL-GP LHQT,23/12/2024,2433506988,,,info@vngtours.com
3587,CÔNG TY CỔ PHẦN DU LỊCH THƯƠNG MẠI APL,APL TRADING TOURISM JOINT STOCK COMPANY,International Travel,BIỆT THỰ C8C NGÕ 12 NÚI TRÚC,01-2170/2023/TCDL-GP LHQT,17/10/2023,0936 091 938,,apltourism.com,aplvietnamtourism@gmail.com
3588,CÔNG TY TNHH International Travel ANH MINH,,International Travel,SỐ NHÀ 28 PHỐ NGUYỄN KHẢ TRẠC,01-2172/2023/TCDL-GP LHQT,28/02/2023,0961.372.966,,,dulichanhminhtour@gmail.com
3592,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ DU LỊCH QUỐC TẾ HÀ NỘI MỚI,NEW HANOI INTERNATIONAL TRAVEL AND MEDIA JOINT STOCK COMPANY,International Travel,"SỐ 6 ĐƯỜNG BA LƯƠNG CẦU GỒ, THÔN QUYẾT TIẾN",01-2171/2023/TCDL-GP LHQT,28/02/2023,0913.066.966,,,newhanoitravel1283@gmail.com
3593,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ ĐA PHONG CÁCH,MULTI STYLE TRADE AND SERVICES COMPANY LIMITED,International Travel,"KIOT 06, SỐ 10 PHỐ LỤA, TỔ DÂN PHỐ CHIẾN THẮNG",01-2175/2023/TCDL-GP LHQT,06/03/2023,794491981,,,daphongcach.info@gmail.com
3594,CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN DU LỊCH TOURIST VIỆT,"TOURIST VIET TRADE AND TOURIST DEVELOPMENT CO., LTD",International Travel,SỐ 36 NGÁCH 37/20 NGÕ 37 PHỐ ĐẠI ĐỒNG,01-2176/2023/TCDL-GP LHQT,06/03/2023,0979 785161,,,sm@touristviet.vn
3596,CÔNG TY TNHH DU LỊCH VÀ SỰ KIỆN FUNTRIP,FUNTRIP TOURISM AND EVENTS COMPANY LIMITED,International Travel,"SỐ 46, NGÕ 31 ĐỘI NHÂN",01-2179/2023/TCDL-GP LHQT,06/03/2023,981666365,,funtripvn.com,manager@funtripvn.com
3597,CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ THƯƠNG MẠI QUANG HUY,QUANG HUY TOURISM SERVICES AND TRADING COMPANY LIMITED,International Travel,"SỐ NHÀ 56, NGÕ 46 NGỌC HÀ",01-2180/2023/TCDL-GP LHQT,06/03/2023,0904871626/0902124596,,datxedulich.net,xequanghuy@gmail.com
3598,CÔNG TY TNHH MTA TRAVEL,MTA TRAVEL COMPANY LIMITED,International Travel,"HILL 3A.8 Khu nhà ở thấp tầng TT1 – Biệt thự Khai Sơn Hill, Khai Sơn City",01-2182/2023/CDLQGVN-GP LHQT,02/04/2025,0962 828 586,,,director.mtatravel@gmail.com
3599,CÔNG TY CỔ PHẦN WONDER BEES,WONDER BEES JOINT STOCK COMPANY,International Travel,SỐ 127 PHỐ ĐỐC NGỮ,01-2184/2023/TCDL-GP LHQT,19/02/2024,983976486,,,wonderbeestravel@gmail.com
3601,CÔNG TY CP VIỆT ROSE TRAVEL,VIET ROSE TRAVEL JOINT STOCK COMPANY,International Travel,SỐ 22 NGÁCH 9 NGÕ 28 PHỐ TRẦN QUỐC HOÀN,01-2185/2023/TCDL-GP LHQT,13/03/2023,0981.884.883,,vietrosetravel.vn,vietrosetravel@gmail.com
3605,CÔNG TY TNHH MTV DU LỊCH HÀNG KHÔNG,AIRLINE TRAVEL LIMITED COMPANY,International Travel,"TẦNG 5 SỐ 152 PHỐ PHÓ ĐỨC CHÍNH, PHƯỜNG TRÚC BẠCH, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-2191/2023/TCDL-GP LHQT,14/03/2023,946156000,,hangkhongtravel.com,info@hangkhongtravel.com
3606,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ QUỐC BẢO,QUOC BAO CONSULTANCY AND INVESTMENT JOINT STOCK COMPANY,International Travel,Số 78 Mễ Trì Hạ,01-2192/2023/CDLQGVN-GP LHQT,10/03/2025,(+84-24) 36369999,,quocbao.vn,quocbao.agt@quocbao.vn
3607,CÔNG TY TNHH TINH HOA DU LỊCH Á CHÂU,ASIA ESSENCE TOURS COMPANY LIMITED,International Travel,30 ĐẠI CỔ VIỆT,01-2193/2023/TCDL-GP LHQT,14/03/2023,0919 309 145,,asiaessencetours.com,asiaessencetours@gmail.com
3609,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ AHAY,AHAY TRADE AND SERVICES JOINT STOCK COMPANY,International Travel,"SỐ 9, PHỐ NGUYỄN THƯỢNG HIỀN",01-2194/2023/TCDL-GP LHQT,15/03/2023,0915581212/024.38.616.616,24.39454848,ahaytravel.com,dichvu@ahay.com.vn
3610,CÔNG TY TNHH TẬP ĐOÀN PHƯỚC THỊNH,PHUOC THINH GROUP COMPANY LIMITED,International Travel,"P302 TẦNG 3 TÒA NHÀ GREEN OFFICE LÔ A4/D6 KĐT CẦU GIẤY, PHƯỜNG DỊCH VỌNG, QUẬN CẦU GIẤY, THÀNH PHỐ HÀ NỘI",01-2195/2023/TCDL-GP LHQT,02/08/2023,024 668 999 11,024 2238888 1,saolatours.com,letsgo@saolatours.com
3611,CÔNG TY TNHH THIÊN ĐƯỜNG DU LỊCH VIỆT NAM,VIETNAM TRAVEL HEAVEN COMPANY LIMITED,International Travel,"SỐ 8, HẺM 58 NGÁCH 11/76, NGÕ 52 PHỐ GIA QUẤT",01-2196/2023/TCDL-GP LHQT,15/03/2023,981507862,,,vietnamtravelheaven@gmail.com
3612,CÔNG TY TNHH AUGROUP VIỆT NAM,AUGROUP VN,International Travel,"CĂN SỐ 2, NHÀ LÔ L1 DỰ ÁN KHU NHÀ Ở THẤP TẦNG HẢI NGÂN, THÔN THƯỢNG, XÃ THANH LIỆT, HUYỆN THANH TRÌ, THÀNH PHỐ HÀ NỘI",01-2199/2023/TCDL-GP LHQT,16/03/2023,369902339,,autravel.vn,augroupltd@gmail.com
3613,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH CHARKA,,International Travel,SỐ 21 NGÁCH 32/15 AN DƯƠNG,01-2200/2023/TCDL-GP LHQT,15/05/2024,374804201,,,hathang29061998@gmail.com
3614,CÔNG TY CỔ PHẦN DỊCH VỤ ASAHI LUXSTAY,ASAHI LUXSTAY SERVICES JOINT STOCK COMPANY,International Travel,"T18, TÒA NHÀ CENTER BUILDING, SỐ 1 ĐƯỜNG NGUYỄN HUY TƯỞNG, PHƯỜNG THANH XUÂN TRUNG, THÀNH PHỐ HÀ NỘI",01-2201/2023/TCDL-GP LHQT,20/03/2023,0919 50 1881,,asahiluxstay.com,support@asahiluxstay.com
3616,CÔNG TY CỔ PHẦN LỮ HÀNH PHẠM GIA GROUP,PHAM GIA GROUP TRAVEL JOINT STOCK COMPANY,International Travel,SỐ 9 NGÁCH 2/5 NGÕ 56 LÊ QUANG ĐẠO,01-2204/2023/TCDL-GP LHQT,21/08/2024,964070824,,,phamgiagrouptravel@gmail.com
3617,CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI AMA JOURNEY VIỆT NAM,AMA JOURNEY VIETNAM TRAVEL AND TRADING COMPANY LIMITED,International Travel,SỐ 20 NGÕ 101/1 THÔN KIM QUAN,01-2205/2023/TCDL-GP LHQT,21/03/2023,+84 904 586 510,,amajourneyasia.com,amajourneyasia@gmail.com
3618,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH CÁNH BUỒM XANH,,International Travel,XÓM 9,01-2208/2023/TCDL-GP LHQT,23/03/2023,0243.6760 888,0243.6788 222,,dulichcanhbuomxanh@gmail.com
3619,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH ANS,ANS TOURISM TRADE COMPANY LIMITED,International Travel,"TẦNG 17-01, TÒA NHÀ PRIMER CENTER, SỐ 53 QUANG TRUNG, PHƯỜNG NGUYỄN DU, QUẬN HAI BÀ TRƯNG, THÀNH PHỐ HÀ NỘI",01-2209/2023/TCDL-GP LHQT,27/03/2023,973066807,,dulichans.com,anstravelhn@gmail.com
3620,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH TƯƠNG LAI VIỆT,VIET FUTURE TRAVEL AND TRADE COMPANY LIMITED,International Travel,"TẦNG 6, TÒA NHÀ MD COMPLEX, SỐ 68 NGUYỄN CƠ THẠCH",01-2210/2023/TCDL-GP LHQT,25/03/2023,+84 913525806,,vietfuturetravel.com,info@vietfuturetravel.com
3621,CÔNG TY CỔ PHẦN CUNG ỨNG NHÂN LỰC QUỐC TẾ KVN,KVN . INTERNATIONAL HUMAN SUPPLY JOINT STOCK COMPANY,International Travel,"TẦNG 5, SỐ 35, ĐƯỜNG NGUYÊN KHÊ",01-2211/2023/TCDL-GP LHQT,24/08/2023,869158814,,,quoctekvn@gmail.com
3622,CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI MẶT TRỜI PHƯƠNG NAM,PHUONG NAM SUN TRAVEL AND TRADING COMPANY LIMITED,International Travel,SỐ 09 PHỐ NGUYỄN THƯỢNG HIỀN,01-2212/2023/TCDL-GP LHQT,28/03/2023,243.9413168,02435.33 55 777,pnstravel.com.vn,info@pnstravel.com.vn
3623,CÔNG TY CỔ PHẦN ĐẦU TƯ DU LỊCH QUỐC TẾ SEN VÀNG,GOLDEN LOTUS INTERNATIONAL TOURISM INVESTMENT JOINT STOCK COMPANY,International Travel,SỐ 2C NGÕ 164 NAM DƯ,01-2213/2023/TCDL-GP LHQT,29/03/2023,977595480,,,
3624,CÔNG TY TNHH DU LỊCH QUỐC TẾ VÀ KỸ NĂNG SỐNG HÀ NỘI – VIỆT NAM,HA NOI - VIET NAM LIFE SKILLS AND INTERNATIONAL TOURISM COMPANY LIMITED,International Travel,"P0208, WEST2, CC VINHOMES WESTPOINT, ĐƯỜNG PHẠM HÙNG, PHƯỜNG MỄ TRÌ, QUẬN NAM TỪ LIÊM, THÀNH PHỐ HÀ NỘI",01-2215/2023/TCDL-GP LHQT,29/03/2023,0982 552 438,,hanoivietnamtourism.vn,anna@hanoivietnamtourism.vn
3625,CÔNG TY TNHH DU LỊCH QUỐC TẾ MIỀN ĐẤT MỚI,NEW LAND INTERNATIONAL TOURIST COMPANY LIMITED,International Travel,"TẦNG 2, THÁP A, TÒA NHÀ HELIOS TOWER, SỐ 75 ĐƯỜNG TAM TRINH, PHƯỜNG MAI ĐỘNG, QUẬN HOÀNG MAI, THÀNH PHỐ HÀ NỘI",01-2216/2023/TCDL-GP LHQT,29/03/2023,0973 140 119,,,ngan15vn@gmail.com
3626,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VÀ DU LỊCH SEN VÀNG,GOLDEN LOTUS TRAVEL AND SERVICES TRADING INVESTMENT COMPANY LIMITED,International Travel,"57B, PHỐ HÀNG BỒ",01-2217/2023/TCDL-GP LHQT,30/03/2023,0976 072 940,,lotustravel24h.com,goldenlotustravelvn@gmail.com
3636,CÔNG TY TNHH DU LỊCH CHARM VIỆT NAM,VIET NAM CHARM TOURISM COMPANY LIMITED,International Travel,"SỐ NHÀ 37 NGÕ 18 TỔ 1, ĐƯỜNG THANH LÃM",01-2223/2023/TCDL-GP LHQT,05/04/2023,917721280,,,govietnam4u@gmail.com
